Series,X,Observed,Predicted,Residual
80 psig,0.3513513514,0.381,0.38017928244927324,0.0008207175507267683
80 psig,0.3023255814,0.391,0.3922511624578814,-0.0012511624578813718
80 psig,0.2,0.418,0.4174473427620739,0.0005526572379260797
80 psig,0.1688311688,0.425,0.4251222123307714,-0.00012221233077142069
100 psig,0.3488372093,0.389,0.38637670053474615,0.002623299465253859
100 psig,0.2941176471,0.397,0.4009873945627572,-0.003987394562757207
100 psig,0.2,0.427,0.4261177883219094,0.0008822116780906053
100 psig,0.1685393258,0.435,0.43451811658058725,0.00048188341941274304
120 psig,0.3469387755,0.396,0.39639684999288205,-0.00039684999288203127
120 psig,0.3,0.412,0.4112516459900665,0.0007483540099335051
120 psig,0.2,0.442,0.4428988200779044,-0.000898820077904372
120 psig,0.1698113208,0.453,0.4524526839391473,0.0005473160608527317
Slope vs Pressure,80.0,-0.2462353984161431,-0.24145435305844773,-0.004781045357695357
Slope vs Pressure,100.0,-0.26701043357417503,-0.27657252428956575,0.009562090715390714
Slope vs Pressure,120.0,-0.3164717408783791,-0.31169069552068374,-0.004781045357695357
