Series,X,Observed,Predicted,Residual
80 psig,0.3548387097,0.418,0.4171847284743921,0.0008152715256078968
80 psig,0.3,0.432,0.4329855130563813,-0.000985513056381282
80 psig,0.2,0.461,0.4617987084587326,-0.0007987084587325888
80 psig,0.1714285714,0.471,0.4700310500104939,0.0009689499895060849
100 psig,0.3513513514,0.42,0.4200014383841096,-1.4383841095977346e-06
100 psig,0.3023255814,0.436,0.4363427601018287,-0.00034276010182870964
100 psig,0.2,0.472,0.470450031555394,0.0015499684446059758
100 psig,0.1707317073,0.479,0.4802057699586678,-0.001205769958667835
120 psig,0.3488372093,0.426,0.42812771727538435,-0.0021277172753843554
120 psig,0.2962962963,0.45,0.4467680697272682,0.003231930272731831
120 psig,0.2,0.48,0.48093186324267656,-0.0009318632426765783
120 psig,0.1683168317,0.492,0.4921723497546706,-0.00017234975467061986
Slope vs Pressure,80.0,-0.2881319540235133,-0.2920873397048527,0.003955385681339352
Slope vs Pressure,100.0,-0.3333210619174188,-0.32541029055474013,-0.007910771362678648
Slope vs Pressure,120.0,-0.35477785572328824,-0.3587332414046276,0.003955385681339352
