Series,X,Observed,Predicted,Residual
80 psig,0.512195122,0.346,0.3401054987615816,0.005894501238418393
80 psig,0.4,0.367,0.3728914835904993,-0.005891483590499291
80 psig,0.3448275862,0.386,0.3890141267997252,-0.003014126799725181
80 psig,0.2777777778,0.407,0.4086076167999788,-0.0016076167999788393
80 psig,0.1929824561,0.435,0.4333867523030303,0.0016132476969696885
80 psig,0.1703703704,0.443,0.4399945217451847,0.003005478254815286
100 psig,0.4909090909,0.354,0.35759998135624393,-0.003599981356243953
100 psig,0.4,0.389,0.3873025268328133,0.0016974731671867138
100 psig,0.3493975904,0.407,0.4038357509305145,0.003164249069485481
100 psig,0.2989690722,0.422,0.42031215983882864,0.00168784016117135
100 psig,0.2,0.452,0.4526481268878004,-0.0006481268878003599
100 psig,0.1704545455,0.46,0.4623014541537995,-0.0023014541537994537
120 psig,0.5,0.358,0.3601951938012224,-0.002195193801222406
120 psig,0.4,0.394,0.3933489274750731,0.00065107252492691
120 psig,0.3473684211,0.413,0.4107982609719218,0.0022017390280781868
120 psig,0.2972972973,0.429,0.42739870800407787,0.0016012919959221272
120 psig,0.2,0.459,0.45965639482277465,-0.0006563948227746308
120 psig,0.17,0.468,0.4696025149249299,-0.0016025149249298543
Slope vs Pressure,80.0,-0.29222290813069124,-0.2971722007441365,0.004949292613445289
Slope vs Pressure,100.0,-0.32672800027493537,-0.31682941504804474,-0.009898585226890633
Slope vs Pressure,120.0,-0.3315373367385076,-0.33648662935195295,0.004949292613445344
