,Species,Feed Pressure,Observed Flowrate (slpm),Predicted Flowrate (slpm),Residual
0,O2,7.0,2.359735,1.9686646720733427,0.39107032792665736
1,O2,8.0,2.5957085,2.2499024823695346,0.3458060176304656
2,O2,9.0,2.831682,2.531140292665726,0.3005417073342738
3,O2,11.0,3.303629,3.09361591325811,0.21001308674189034
4,O2,13.0,3.5396025,3.6560915338504936,-0.11648903385049358
5,O2,15.0,3.775576,4.218567154442876,-0.4429911544428767
6,O2,7.0,2.359735,1.9686646720733427,0.39107032792665736
7,O2,8.0,2.5957085,2.2499024823695346,0.3458060176304656
8,O2,9.0,2.5957085,2.531140292665726,0.06456820733427383
9,O2,11.0,3.0676555,3.09361591325811,-0.02596041325810966
10,O2,13.0,3.5396025,3.6560915338504936,-0.11648903385049358
11,O2,15.0,3.775576,4.218567154442876,-0.4429911544428767
12,N2,55.0,2.831682,2.454273279179811,0.3774087208201892
13,N2,63.0,3.0676555,2.811258483424147,0.2563970165758529
14,N2,71.0,3.0676555,3.168243687668483,-0.10058818766848303
15,N2,79.0,3.5396025,3.5252288919128194,0.014373608087180632
16,N2,87.0,3.775576,3.882214096157156,-0.1066380961571557
17,N2,95.0,4.0115495,4.239199300401491,-0.22764980040149121
