Feed Pressure (psig) ,Retentate Pressure (psig),Permeate Flow Rate (scfh),Retentate Flow Rate (scfh),Permeate O2 Composition (%),Retentate O2 Composition (%),Target Stage Cut,Actual Stage Cut,O2 entering,O2 leaving,O2 Mass-Balance Percent Error
80.0,80.0,6.5,12.0,0.381,0.124,0.35,0.3513513514,3.8665,3.9645,0.02534592008
80.0,80.0,6.5,15.0,0.391,0.133,0.3,0.3023255814,4.4935,4.5365,0.00956937799
80.0,80.0,6.5,26.0,0.418,0.159,0.2,0.2,6.7925,6.851,0.008612440191
80.0,80.0,6.5,32.0,0.425,0.166,0.17,0.1688311688,8.0465,8.0745,0.003479773815
100.0,100.0,7.5,14.0,0.389,0.118,0.35,0.3488372093,4.4935,4.5695,0.01691331924
100.0,100.0,7.5,18.0,0.397,0.125,0.3,0.2941176471,5.3295,5.2275,0.01913875598
100.0,100.0,7.0,28.0,0.427,0.151,0.2,0.2,7.315,7.217,0.01339712919
100.0,100.0,7.5,37.0,0.435,0.161,0.17,0.1685393258,9.3005,9.2195,0.008709209182
120.0,120.0,8.5,16.0,0.396,0.113,0.35,0.3469387755,5.1205,5.174,0.01044819842
120.0,120.0,9.0,21.0,0.412,0.126,0.3,0.3,6.27,6.354,0.01339712919
120.0,120.0,9.0,36.0,0.442,0.154,0.2,0.2,9.405,9.522,0.01244019139
120.0,120.0,9.0,44.0,0.453,0.164,0.17,0.1698113208,11.077,11.293,0.01949986458
