Feed Pressure (psig) ,Retentate Pressure (psig),Permeate Flow Rate (scfh),Retentate Flow Rate (scfh),Permeate O2 Composition (%),Retentate O2 Composition (%),Target Stage Cut,Actual Stage Cut,O2 entering,O2 leaving,O2 Mass-Balance Percent Error
80.0,80.0,5.5,10.0,0.418,0.104,0.35,0.3548387097,3.2395,3.339,0.03071461645
80.0,80.0,6.0,14.0,0.432,0.119,0.3,0.3,4.18,4.258,0.01866028708
80.0,80.0,6.0,24.0,0.461,0.153,0.2,0.2,6.27,6.438,0.02679425837
80.0,80.0,6.0,29.0,0.471,0.167,0.17,0.1714285714,7.315,7.669,0.04839371155
100.0,100.0,6.5,12.0,0.42,0.093,0.35,0.3513513514,3.8665,3.846,0.00530195267
100.0,100.0,6.5,15.0,0.436,0.108,0.3,0.3023255814,4.4935,4.454,0.008790475131
100.0,100.0,7.0,28.0,0.472,0.147,0.2,0.2,7.315,7.42,0.01435406699
100.0,100.0,7.0,34.0,0.479,0.155,0.17,0.1707317073,8.569,8.623,0.006301785506
120.0,120.0,7.5,14.0,0.426,0.088,0.35,0.3488372093,4.4935,4.427,0.01479915433
120.0,120.0,8.0,19.0,0.45,0.109,0.3,0.2962962963,5.643,5.671,0.004961899699
120.0,120.0,8.0,32.0,0.48,0.142,0.2,0.2,8.36,8.384,0.002870813397
120.0,120.0,8.5,42.0,0.492,0.155,0.17,0.1683168317,10.5545,10.692,0.01302761855
