Feed Pressure (psig) ,Retentate Pressure (psig),Permeate Flow Rate (scfh),Retentate Flow Rate (scfh),Permeate O2 Composition (%),Retentate O2 Composition (%),Target Stage Cut,Actual Stage Cut,O2 entering,O2 leaving,O2 Mass-Balance Percent Error
80.0,80.0,10.5,10.0,0.346,0.073,0.5,0.512195122,4.2845,4.363,-0.01832185786
80.0,80.0,10.0,15.0,0.367,0.089,0.4,0.4,5.225,5.005,0.04210526316
80.0,80.0,10.0,19.0,0.386,0.106,0.35,0.3448275862,6.061,5.874,0.03085299456
80.0,80.0,10.0,26.0,0.407,0.126,0.3,0.2777777778,7.524,7.346,0.02365762892
80.0,80.0,11.0,46.0,0.435,0.155,0.2,0.1929824561,11.913,11.915,-0.0001678838244
80.0,80.0,11.5,56.0,0.443,0.162,0.17,0.1703703704,14.1075,14.1665,-0.004182172603
80.0,80.0,12.0,88.0,0.458,0.177,0.12,0.12,20.9,21.072,-0.008229665072
100.0,100.0,13.5,14.0,0.354,0.065,0.5,0.4909090909,5.7475,5.689,0.01017833841
100.0,100.0,14.0,21.0,0.389,0.092,0.4,0.4,7.315,7.378,-0.008612440191
100.0,100.0,14.5,27.0,0.407,0.108,0.35,0.3493975904,8.6735,8.8175,-0.01660229434
100.0,100.0,14.5,34.0,0.422,0.122,0.3,0.2989690722,10.1365,10.267,-0.01287426627
100.0,100.0,15.0,60.0,0.452,0.153,0.2,0.2,15.675,15.96,-0.01818181818
100.0,100.0,15.0,73.0,0.46,0.162,0.12,0.1704545455,18.392,18.726,-0.0181600696
120.0,120.0,16.0,16.0,0.358,0.061,0.5,0.5,6.688,6.704,-0.002392344498
120.0,120.0,16.0,24.0,0.394,0.088,0.4,0.4,8.36,8.416,-0.006698564593
120.0,120.0,16.5,31.0,0.413,0.104,0.35,0.3473684211,9.9275,10.0385,-0.0111810627
120.0,120.0,16.5,39.0,0.429,0.119,0.3,0.2972972973,11.5995,11.7195,-0.0103452735
120.0,120.0,17.0,68.0,0.459,0.149,0.2,0.2,17.765,17.935,-0.00956937799
120.0,120.0,17.0,83.0,0.468,0.159,0.12,0.17,20.9,21.153,-0.01210526316
