V,2500,3500,4500,P_out
0,9,11,13,191
1000,8.88,10.88,12.88,189
2000,8.76,10.76,12.76,188
3000,8.62,10.63,12.63,186
4000,8.48,10.49,12.50,184
5000,8.33,10.34,12.35,182
6000,8.15,10.18,12.20,179
7000,7.96,10.00,12.03,177
8000,7.75,9.81,11.85,174
9000,7.51,9.60,11.66,171
10000,7.23,9.36,11.44,168
11000,6.90,9.08,11.20,165
12000,6.50,8.77,10.93,161
13000,6.00,8.40,10.63,156
14000,5.35,7.95,10.28,151
15000,4.46,7.40,9.87,145
16000,,6.69,9.38,138
17000,,5.75,8.79,129
18000,,,8.03,118
19000,,,7.04,104
20000,,,,
